id;clusters_0;clusters_1
pub.1027207099;0;0
pub.1027223267;12;10
pub.1027236442;33;25
pub.1027256915;30;23
pub.1027274375;23;19
pub.1027291282;86;59
pub.1027307342;108;38
pub.1027317595;49;2
pub.1027328240;9;8
pub.1027345726;62;32
pub.1027382793;45;23
pub.1027383238;22;18
pub.1027403665;9;8
pub.1027410367;20;3
pub.1027457115;49;2
pub.1027476516;5;4
pub.1027497933;26;4
pub.1027509987;68;47
pub.1027511871;21;17
pub.1027533780;124;27
pub.1027539881;125;79
pub.1027573072;30;23
pub.1027615158;5;4
pub.1027678461;9;8
pub.1027685530;9;8
pub.1027691147;23;19
pub.1027711134;9;8
pub.1027713905;26;4
pub.1027716149;108;38
pub.1027724520;12;10
pub.1027745319;68;47
pub.1027756154;22;18
pub.1027793289;13;4
pub.1027798004;3;2
pub.1027822530;9;8
pub.1027836511;36;27
pub.1027874102;9;8
pub.1027874361;4;3
pub.1027876917;68;47
pub.1027889286;49;2
pub.1027895255;9;8
pub.1027900872;5;4
pub.1027910306;33;25
pub.1027911346;3;2
pub.1027916977;2;1
pub.1027917412;45;23
pub.1027950949;28;22
pub.1027958186;28;22
pub.1027962432;58;41
pub.1027970431;30;23
pub.1027170241;9;8
pub.1027176470;52;36
pub.1027176793;27;21
pub.1027202353;41;4
pub.1027208265;30;23
pub.1027221056;22;18
pub.1027226580;12;10
pub.1027229480;49;2
pub.1027238076;15;12
pub.1027273222;17;14
pub.1027303167;26;4
pub.1027305250;33;25
pub.1027330306;22;18
pub.1027388385;51;35
pub.1027398103;22;18
pub.1027400515;9;8
pub.1027415172;22;18
pub.1027464153;26;4
pub.1027472927;41;4
pub.1027477297;9;8
pub.1027513164;9;8
pub.1027522037;9;8
pub.1027523323;0;0
pub.1027542117;30;23
pub.1027567172;108;38
pub.1027568811;49;2
pub.1027588179;108;38
pub.1027591394;30;23
pub.1027619030;160;105
pub.1027623310;9;8
pub.1027655703;82;56
pub.1027662274;96;53
pub.1027663434;0;0
pub.1027664733;0;0
pub.1027666575;65;23
pub.1027668567;48;34
pub.1027747829;30;23
pub.1027755370;30;23
pub.1027762315;9;8
pub.1027767035;13;4
pub.1027781946;41;4
pub.1027813707;30;23
pub.1027893252;22;18
pub.1027919478;9;8
pub.1027943016;9;8
pub.1027944396;103;8
pub.1027949340;6;5
pub.1027989133;29;4
pub.1027995713;26;4
pub.1028000016;57;38
pub.1028014490;5;4
pub.1028017268;5;4
pub.1028018836;41;4
pub.1028026650;22;18
pub.1028129126;57;38
pub.1028147812;0;0
pub.1028158786;73;49
pub.1028168172;22;18
pub.1028178809;65;23
pub.1028228800;21;17
pub.1028249568;31;24
pub.1028250254;5;4
pub.1028263697;5;4
pub.1028295644;22;18
pub.1028302522;15;12
pub.1028318287;22;18
pub.1028326439;57;38
pub.1028351039;4;3
